metabolite,state,time_point,qs,std_err,err_perc,ub,lb
Glucose,HP_MO,4,-0.08940200522367939,0.025353000678419557,-0.28358425087879857,-0.06404900454525983,-0.11475500590209894
Glucose,HP_MO,24,-0.024325393708698927,0.004062298776158875,-0.16699827451122276,-0.02026309493254005,-0.028387692484857802
Glucose,HP_MO,48,-0.007987874022722871,0.0021548452897221784,-0.2697645560749147,-0.005833028733000693,-0.01014271931244505
Glucose,HP_MO,72,-0.0030647617525857225,0.001497651455711866,-0.4886681499624908,-0.0015671102968738565,-0.004562413208297589
Glucose,LP_TR,4,-0.08935579584538997,0.022678329425759838,-0.2537980800372431,-0.06667746641963013,-0.11203412527114981
Glucose,LP_TR,24,-0.029640568910879763,0.0052956581348497355,-0.1786624997236787,-0.02434491077603003,-0.0349362270457295
Glucose,LP_TR,48,-0.010163731788565477,0.002415027259920154,-0.23761225799338162,-0.007748704528645323,-0.01257875904848563
Glucose,LP_TR,72,-0.003935490561444284,0.0015846321403071833,-0.40265174457073016,-0.002350858421137101,-0.005520122701751467
Glucose,LP_MO,4,-0.11009516695636373,0.03133309310534869,-0.284600078019479,-0.07876207385101505,-0.1414282600617124
Glucose,LP_MO,24,-0.03251030476003802,0.00626283731095907,-0.19264160570581332,-0.02624746744907895,-0.038773142070997094
Glucose,LP_MO,48,-0.010369605035452346,0.0024397693270006944,-0.2352808345794692,-0.007929835708451651,-0.012809374362453042
Glucose,LP_MO,72,-0.003533023037665628,0.001415024057752903,-0.40051367983375813,-0.002117998979912725,-0.004948047095418531
Glutamate,HP_TR,4,0.0023921372530059846,5.954212850346752e-4,0.24890765957783675,0.0029875585380406597,0.0017967159679713094
Glutamate,HP_TR,24,0.0019505629197005628,5.515655104746965e-4,0.28277247809025774,0.0025021284301752593,0.0013989974092258662
Glutamate,HP_TR,48,0.002060778260848351,6.447506128780337e-4,0.31286753413858914,0.0027055288737263847,0.001416027647970317
Glutamate,HP_TR,72,0.002451253405248121,8.606208431492453e-4,0.35109419585370505,0.0033118742483973663,0.001590632562098876
Glutamate,HP_MO,4,0.002761887929161854,6.368394697620007e-4,0.2305812133207235,0.0033987273989238547,0.0021250484593998533
Glutamate,HP_MO,24,0.0019929339331618222,5.066957022518278e-4,0.25424611113322093,0.0024996296354136503,0.0014862382309099944
Glutamate,HP_MO,48,0.002109372640145541,6.025913151074672e-4,0.28567323935039285,0.002711963955253008,0.001506781325038074
Glutamate,HP_MO,72,0.0026086024554388774,8.471891145266971e-4,0.32476742968646943,0.0034557915699655745,0.0017614133409121803
Glutamate,LP_TR,4,-0.008091740148313856,0.0012383565498891853,-0.15303958446407007,-0.00685338359842467,-0.009330096698203042
Glutamate,LP_TR,24,-0.0019137243810400627,2.577505492717746e-4,-0.13468530360244116,-0.0016559738317682882,-0.002171474930311837
Glutamate,LP_TR,48,-4.3725464906739443e-4,9.707505064950723e-5,-0.22201033392453415,-3.401795984178872e-4,-5.343296997169017e-4
Glutamate,LP_TR,72,-1.1281542923415668e-4,4.1166557383011604e-5,-0.3649018371198801,-7.164887185114507e-5,-1.5398198661716828e-4
Glutamate,LP_MO,4,-0.010077564942790529,0.002414011076183071,-0.23954309298795937,-0.007663553866607458,-0.0124915760189736
Glutamate,LP_MO,24,-0.0017676742135558576,3.222477489194358e-4,-0.18230041850935952,-0.0014454264646364219,-0.0020899219624752933
Glutamate,LP_MO,48,-3.0178385540739023e-4,7.304268804148447e-5,-0.24203643346951478,-2.2874116736590577e-4,-3.748265434488747e-4
Glutamate,LP_MO,72,-5.5034225436511894e-5,2.1501775327046525e-5,-0.39069824561901423,-3.353245010946537e-5,-7.653600076355842e-5
Glutamine,HP_TR,4,-0.02654175306521566,0.003394587195304029,-0.12789611850291877,-0.023147165869911633,-0.029936340260519688
Glutamine,HP_TR,24,-0.011377379342225644,0.0013105014947278532,-0.11518482906376337,-0.01006687784749779,-0.012687880836953496
Glutamine,HP_TR,48,-0.005849965252032864,4.6508245185331373e-4,-0.07950174604741413,-0.00538488280017955,-0.0063150477038861775
Glutamine,HP_TR,72,-0.002952618481536293,2.7285569921801434e-4,-0.0924114310481601,-0.0026797627823182788,-0.0032254741807543077
Glutamine,HP_MO,4,-0.036383831731062063,0.005745988515286257,-0.15792697585451723,-0.030637843215775805,-0.04212982024634832
Glutamine,HP_MO,24,-0.012263326832682058,0.0013672366527366587,-0.11148986497635703,-0.0108960901799454,-0.013630563485418717
Glutamine,HP_MO,48,-0.005522128842797506,4.8676854576945936e-4,-0.08814871214103415,-0.005035360297028046,-0.006008897388566965
Glutamine,HP_MO,72,-0.002252930734887499,3.582022863908263e-4,-0.1589939188293391,-0.0018947284484966728,-0.0026111330212783253
